6.0 2130.39466488
6.25 1572.52133929
6.5 1180.11154556
6.75 899.561102232
7.0 695.912423607
7.25 545.965108447
7.5 434.069537089
7.75 349.506302999
8.0 284.828947361
8.25 234.796068901
8.5 195.670861609
8.75 164.758442082
9.0 140.093504843
9.25 120.22752961
9.5 104.08214688
9.75 90.8472119225
10.0 79.908857286
10.25 70.7959638834
10.5 63.1466470957
10.75 56.6792002618
11.0 51.1730393469
11.25 46.4541760981
11.5 42.3843865246
11.75 38.8531310707
12.0 35.771484375
12.25 33.0673896968
12.5 30.6821938008
12.75 28.5677875355
13.0 26.684570618
13.25 24.9997331835
13.5 23.4859397672
13.75 22.1203323603
14.0 20.8836958632
14.25 19.7597710155
14.5 18.7347814459
14.75 17.7969823182
15.0 16.9363049436
