6.0 39.9966319597
6.25 36.8643335494
6.5 34.0848356262
6.75 31.6074490473
7.0 29.390194515
7.25 27.3980624247
7.5 25.6016937417
7.75 23.9763153786
8.0 22.5009283879
8.25 21.1576561652
8.5 19.9311876061
8.75 18.8083668564
9.0 17.7778386571
9.25 16.8297551227
9.5 15.9555494038
9.75 15.1477430262
10.0 14.3997707078
10.25 13.7058633589
10.5 13.0609368862
10.75 12.4604821433
11.0 11.9005036418
11.25 11.3774430857
11.5 10.8881248937
11.75 10.429705572
12.0 10.0
12.25 9.59600067139
12.5 9.21600055695
12.75 8.85813140869
13.0 8.52070999146
13.25 8.20220756531
13.5 7.90123462677
13.75 7.61652803421
14.0 7.34693908691
14.25 7.09141254425
14.5 6.84898900986
14.75 6.61878824234
15.0 6.40000009537
