6.0 600.160260215
6.25 432.892800536
6.5 316.28262713
6.75 233.844130894
7.0 174.80561777
7.25 132.01530965
7.5 100.654079618
7.75 77.4290442048
8.0 60.0613588323
8.25 46.9551024674
8.5 36.9796700585
8.75 29.3258448904
9.0 23.4086241785
9.25 18.8010935263
9.5 15.1889799493
9.75 12.3390376498
10.0 10.0776977539
10.25 8.27123260498
10.5 6.82098150253
10.75 5.65058755875
11.0 4.70131874084
11.25 3.92772483826
11.5 3.29441714287
11.75 2.77369189262
12.0 2.34375
12.25 1.98734068871
12.5 1.69075703621
12.75 1.44304466248
13.0 1.23541915417
13.25 1.06080210209
13.5 0.913463294506
13.75 0.788750231266
14.0 0.682868480682
14.25 0.592710077763
14.5 0.515723705292
14.75 0.449806034565
15.0 0.393215984106
